id,First_Name,Last_Name,Work_Street_Address,City,State,US_Zip_Code,Age,Gender,Race,Ethnicity,Focus_of_Practice,Areas_of_Interest,Practice_Type,Practice_Setting,Practice_Area,Job_Function,Job_Role,Employment_Status,Affiliation,Years_in_Practice,First_Year_in_Practice,Primary_Practice_Location,Primary_Practice_District,NPI,Military_Service,Active_Military_Service,US_Govt_Employee,Active_Govt_Employee,Medical_License_State,Medical_License_Begin_Date,Medical_License_End_Date,Suspended_Account,CME_Eligible,Report_CME_to_ABA,CRNA_Eligible,Toolbox_Role,Level_PGY,Question_Bank_Content_Editing,Institution_Super_User
1,Stephen,Young,2386 Washington Pl,Cedar Rapids,IA,524011520,50,MALE,"OTHER,AI",NHL,CARD_ANES,"PEDIATRICS,ONCOLOGY,ANES_RES",Multi-Specialty Group,Outpatient Surgery Center,RURAL,NONE,"PROFINSTRFAC,HIRINGDM",INTCONTRACTLT,Coastal Anesthesia Group,8,2017,IA,12,3389083863,,No,INDIAN_HEALTH_SERVICE,Yes,IA,12/01/2024,12/01/2027,0,1,1,0,Resident,PGY-1,0,0
2,Jerry,Scott,6077 Elm Ln,Trenton,NJ,086082169,32,MALE,OTHER,HL,PED_ANES,"OPHTHALMOLOGY,PCEOLC,AMB_OBA,NSA",Private Practice,Outpatient Surgery Center,SUBURBAN,INDSCONSUL,"PRACTICEOPER,HIRINGDM,SURGCTROWNER",INDCONTRACT,,5,2020,NJ,2,8327648350,,No,,No,NJ,12/06/2005,11/30/2028,1,0,0,0,Faculty,N/A,0,0
3,River,Allen,"288 Valley Ave, Suite 649",Tulsa,OK,741036573,42,GNC,AIAN,NOANS,"GER_ANES,NEURO_ANES,ACD_MED",REG_ANES,Multi-Specialty Group,Multi-Site Practice,RURAL,"INDSCONSUL,ANESCTEDUC",PRACTICEOWNER,INTCONTRACTLT,Eastern Healthcare,14,2011,OK,6,6270482814,ARMY,No,PUBLIC_HEALTH_SYSTEM,Yes,OK,12/02/2021,11/30/2030,0,0,1,0,Staff,PGY-5,0,0
4,Helen,Phillips,6218 Union Pl,Dallas,TX,752014681,36,FEMALE,"WHI,ANI",HL,"ANES_RES,PERI_MED,PAIN_MED","POCUS,CARDIO_SYS,PRAC_MGMT,ACD_MED,PEDIATRICS",Private Practice,Outpatient Surgery Center,RURAL,PRACLECS,"MEDDIR,MEDSCHDEAN",NOTPRACTICING,Valley Healthcare,9,2016,TX,4,0983930103,,Yes,INDIAN_HEALTH_SERVICE,Yes,TX,12/02/2022,11/30/2031,0,0,0,0,,PGY-2,0,0
5,Skylar,Gonzalez,"8956 Main Ave, Suite 969",Little Rock,AR,722013724,37,GNC,"WHI,ANI,UNS",NHL,"CARD_ANES,ACD_MED","PHY_WELLNESS,EPD,POCUS,TRAUMA,ALI",Ambulatory Surgery Center,Government Facility,URBAN,ANESCTEDUC,"DEPTVICECHAIR,FELLOWPGMCOORD,PROFINSTRFAC",NOTPRACTICING,Midwest Anesthesia Partners,6,2019,AR,11,7360260647,ARMY,No,,Yes,AR,12/05/2011,11/29/2033,0,0,0,0,,PGY-3,0,0
6,Casey,Bennett,"5015 Union Ln, Suite 174",Nashville,TN,372018508,37,GNC,"AIAN,OTHER",NHL,"CCM,PED_ANES,AMB_ANES","NSA,OBA",Community Hospital,Hospital - Community,SUBURBAN,SCIRESEARCH,HIRINGDM,NOTPRACTICING,Cleveland Clinic,9,2016,TN,12,1183842513,NATGRD,No,,Yes,TN,12/06/2005,11/29/2035,0,1,1,0,Resident,N/A,0,0
7,Shirley,Lee,"7339 Hospital Ct, Suite 214",Charleston,WV,253013442,30,FEMALE,"UNS,NHOPI",NHL,"ANES_RES,CARD_ANES,RAA","PRAC_MGMT,BH",Academic Medical Center,Government Facility,RURAL,MEDSTUEDUC,"RESPGMDIR,SURGCTROWNER",APHHSACS,Metro Anesthesia Associates,5,2020,WV,2,5982620450,,No,,Yes,WV,12/06/2007,12/01/2026,0,0,1,0,,PGY-3,0,0
8,Timothy,Phillips,4664 Maple Rd,Lansing,MI,489339785,37,MALE,"BAA,AI",NOANS,PERI_MED,"LEAD_DEV,ALI,ACD_MED,REG_ANES",Community Hospital,Office-Based,URBAN,"ENGINEERING,MEDSTUEDUC","HPPDM,RESPGMDIR,DIRANESSVS",NOTPRACTICING,Mercy Medical Center,8,2017,MI,2,1429401965,,No,,No,MI,12/04/2014,12/01/2026,0,0,0,0,,N/A,0,0
9,Skylar,Smith,"4800 Cedar Ct, Suite 721",Frederick,MD,217018618,48,GNC,AIAN,HL,NEURO_ANES,"PERIOP_MED,PCEOLC,PRAC_MGMT,ACD_MED,ANES_RES",Solo Practice,Outpatient Surgery Center,RURAL,"OTHER,INDSCONSUL",RESPGMCOOR,INTCONTRACTLT,,14,2011,MD,3,3872148951,,Yes,INDIAN_HEALTH_SERVICE,No,MD,12/05/2010,11/29/2033,0,1,0,0,Resident,PGY-4,0,0
10,Cameron,Castillo,"7091 Hospital Way, Suite 861",Greensboro,NC,274018373,46,GNC,UNS,NHL,"ANES_RES,PERI_MED,CARD_ANES",PRAC_MGMT,Community Hospital,Multi-Site Practice,RURAL,"MEDSTUEDUC,SCIRESEARCH","MEDDIR,DEPTCHAIR",INTCONTRACTLT,Trinity Health System,15,2010,NC,3,4873471434,MARINES,No,,Yes,NC,12/03/2016,11/30/2029,0,1,0,1,,PGY-4,0,0
